store,name,product-link,price,category,image_url,common_category
Metro,Noms Cheddar Jalapeno 64 G,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-cheddar-jalapeno-64-g/16324454,Rs. 149,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Cola Next 1.5L,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1.5l/12632300,Rs. 163,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Tapal Danedar Black Tea Leaves 450GM,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-danedar-black-tea-leaves-450gm/12621142,"Rs. 1,099",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Cola Next 1.5Ltr x6,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1.5ltr-x6/12623912,Rs. 944,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,KernelPop Butter Popcorn 3in1 80GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-butter-popcorn-3in1-80gm/12621291,Rs. 486,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,KernelPop Natural Popcorn 3in1 80GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-natural-popcorn-3in1-80gm/12621253,Rs. 486,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Next Fizz Up 1.5L x6,https://www.metro-online.pk/detail/beverages/soft-drinks/next-fizz-up-1.5l-x6/12634504,Rs. 944,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,KernelPops Cheese Popcorn 3in1 80GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpops-cheese-popcorn-3in1-80gm/12622036,Rs. 486,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Always Sanitary Pads Maxi Thick,https://www.metro-online.pk/detail/health-and-beauty/toiletries/women-care/always-sanitary-pads-maxi-thick/12620801,Rs. 385,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Fair and Lovely Face Wash Multi Vitamin 50GM,https://www.metro-online.pk/detail/health-and-beauty/skin-care/facewashes/fair-and-lovely-face-wash-multi-vitamin-50gm/12620966,Rs. 221,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
