store,name,product_link,price,category,common_category
Imtiaz,LU Wheatable Sugar Free F/P,https://shop.imtiaz.com.pk/product/product-item-366398,Rs. 89.00,biscuits_&_wafers---imtiaz,Snacks
Imtiaz,LU Wheatable F/P,https://shop.imtiaz.com.pk/product/product-item-368136,Rs. 89.00,biscuits_&_wafers---imtiaz,Snacks
Imtiaz,Murree Brewery's Beer Lemon Malt N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-364496,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Drink Big Apple PET 500ml,https://shop.imtiaz.com.pk/product/product-item-364498,Rs. 78.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Apple Malt N/R 300ml,https://shop.imtiaz.com.pk/product/product-item-366556,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Drink Big Apple PET 1500ml,https://shop.imtiaz.com.pk/product/product-item-366558,Rs. 155.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Can Peach Malt 250ml,https://shop.imtiaz.com.pk/product/product-item-368319,Rs. 82.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Drink Lemon Malt 500ml,https://shop.imtiaz.com.pk/product/product-item-368321,Rs. 105.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Can Lemon Malt 250ml,https://shop.imtiaz.com.pk/product/product-item-368323,Rs. 82.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Peach Malt N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-364497,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Lychee Malt N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-368325,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Pineapple Malt N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-368326,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Strawberry Malt N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-368324,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Malt79 N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-368322,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Murree Brewery's Beer Cindy N/R 250ml,https://shop.imtiaz.com.pk/product/product-item-366557,Rs. 79.00,carbonated_soft_drinks---imtiaz,Beverages
Imtiaz,Nestle Gold Nectar FV Red Anaar 1000ml,https://shop.imtiaz.com.pk/product/product-item-364457,Rs. 469.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Gold Nectar FV Red Grape 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364464,Rs. 449.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Gold Nectar FV Pineapple Gold 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364465,Rs. 469.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Maza Fruit Drink Mango Orange 250ml,https://shop.imtiaz.com.pk/product/product-item-364467,Rs. 48.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Maza Juice Apple Supremo 250ml,https://shop.imtiaz.com.pk/product/product-item-364472,Rs. 48.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Cappy Juice Pulpy Orange 350ml,https://shop.imtiaz.com.pk/product/product-item-364475,Rs. 115.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Gold Nectar FV Red Grape 200ml,https://shop.imtiaz.com.pk/product/product-item-364484,Rs. 69.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Quice Juice Fruit Punch 250ml,https://shop.imtiaz.com.pk/product/product-item-364486,Rs. 35.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Maza Juice Mango King 250ml,https://shop.imtiaz.com.pk/product/product-item-364491,Rs. 40.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Aqua COCO Coconut Water 330ml,https://shop.imtiaz.com.pk/product/product-item-366541,Rs. 479.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Joiner Juice Grape 320ml,https://shop.imtiaz.com.pk/product/product-item-368286,Rs. 319.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Joiner Juice Orange 320ml,https://shop.imtiaz.com.pk/product/product-item-368287,Rs. 319.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Joiner Juice Pineapple 320ml,https://shop.imtiaz.com.pk/product/product-item-368288,Rs. 319.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Fruit Drink N/R Lychee 250ml,https://shop.imtiaz.com.pk/product/product-item-368297,Rs. 109.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Maza Fruit Drink Chaunsa 200ml,https://shop.imtiaz.com.pk/product/product-item-368299,Rs. 49.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Haleeb Fruit Drink Apple Apple 1Ltr,https://shop.imtiaz.com.pk/product/product-item-368300,Rs. 209.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Malee Coconut Water 100% 1Ltr,https://shop.imtiaz.com.pk/product/product-item-368306,"Rs. 1,295.00",juices_&_nectars---imtiaz,Beverages
Imtiaz,Malee Coconut Water 100% 330ml,https://shop.imtiaz.com.pk/product/product-item-368307,Rs. 469.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Mogu Mogu Juice Peach 320ml,https://shop.imtiaz.com.pk/product/product-item-370112,Rs. 319.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Mogu Mogu Juice Coconut 320ml,https://shop.imtiaz.com.pk/product/product-item-370115,Rs. 319.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Popular Real Froot Fruit Drink Red Grape 200ml,https://shop.imtiaz.com.pk/product/product-item-370116,Rs. 48.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Peach 200ml,https://shop.imtiaz.com.pk/product/product-item-364489,Rs. 69.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV 100% Orange 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364459,Rs. 449.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Haleeb Fruit Drink Chaunsa Chaunsa 200ml,https://shop.imtiaz.com.pk/product/product-item-364468,Rs. 45.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Haleeb Fruit Drink Apple Apple 200ml,https://shop.imtiaz.com.pk/product/product-item-366549,Rs. 45.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Quice Perfect Juice Apple 200ml,https://shop.imtiaz.com.pk/product/product-item-364473,Rs. 40.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Chaunsa 1Ltr,https://shop.imtiaz.com.pk/product/product-item-363668,Rs. 369.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Shangrila lemon Juice 275ml,https://shop.imtiaz.com.pk/product/product-item-364455,Rs. 199.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Kinnow 200ml,https://shop.imtiaz.com.pk/product/product-item-364490,Rs. 69.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Kinnow 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364471,Rs. 369.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Apple 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364479,Rs. 369.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Guava 200ml,https://shop.imtiaz.com.pk/product/product-item-364476,Rs. 69.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Nectar FV Peach 1Ltr,https://shop.imtiaz.com.pk/product/product-item-364470,Rs. 369.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Drink Nesfruta Mango 200ml,https://shop.imtiaz.com.pk/product/product-item-363669,Rs. 49.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Nestle Fruit Drink Apple 1Ltr,https://shop.imtiaz.com.pk/product/product-item-368302,Rs. 245.00,juices_&_nectars---imtiaz,Beverages
Imtiaz,Gatorade Sport Drink Tropical Fruit Local 500ml,https://shop.imtiaz.com.pk/product/product-item-364452,Rs. 95.00,sports_drink---imtiaz,Beverages
Imtiaz,Gatorade Sport Drink Blue Bolt Local 500ml,https://shop.imtiaz.com.pk/product/product-item-364453,Rs. 95.00,sports_drink---imtiaz,Beverages
Imtiaz,Milo Drinking Powder Pouch 500g,https://shop.imtiaz.com.pk/product/product-item-364492,"Rs. 1,549.00",make_to_drink---imtiaz,Beverages
Imtiaz,Milo Drinking Powder Pouch 300g,https://shop.imtiaz.com.pk/product/product-item-364493,Rs. 999.00,make_to_drink---imtiaz,Beverages
