store,name,product-link,price,image_url
Jalal Sons,Pepsi 500ML(500 Ml),https://jalalsons.com.pk/product/pepsi-500ml-177285,Rs 88,https://static.tossdown.com/images/9e640801-278e-4388-ae9c-f15166baae32.webp
Jalal Sons,Pepsi Bottle 345ML(345 Ml),https://jalalsons.com.pk/product/pepsi-bottle-345ml-177287,Rs 64,https://static.tossdown.com/images/61a4fbb2-de13-49fa-9074-4914ea2545f9.webp
Jalal Sons,Pepsi Diet Tin 250ML(250 Ml),https://jalalsons.com.pk/product/pepsi-diet-tin-250ml-177289,Rs 99,https://static.tossdown.com/images/4a596ba1-60d4-4bb8-8922-0934fdda6bd7.webp
Jalal Sons,Pepsi Imp Tin 150ML,https://jalalsons.com.pk/product/pepsi-imp-tin-150ml-220439,Rs 298,https://static.tossdown.com/images/e8255910-81a5-4cdc-ac05-6ed0f2e597ea.webp
Jalal Sons,Pepsi Tin 250ML(250 Ml),https://jalalsons.com.pk/product/pepsi-tin-250ml-177291,Rs 99,https://static.tossdown.com/images/bef5727a-5dea-47bc-96f6-2c22455a1dab.webp
Jalal Sons,Pepsi 1.5L(1.5 L),https://jalalsons.com.pk/product/pepsi-1-5l-177283,Rs 154,https://static.tossdown.com/images/ede03154-80f1-49d9-9e3f-6545a336a93a.webp
Imtiaz,Pepsi Drink Can Local 250ml,https://shop.imtiaz.com.pk/product/product-item-363703,Rs. 85.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000019.jpg&w=3840&q=90
Imtiaz,Pepsi Drink NR 345ml,https://shop.imtiaz.com.pk/product/product-item-363708,Rs. 65.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000024.jpg&w=3840&q=90
Imtiaz,Pepsi Drink PET 1Ltr,https://shop.imtiaz.com.pk/product/product-item-363687,Rs. 145.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000013.jpg&w=3840&q=90
Imtiaz,Pepsi Drink NR 500ml,https://shop.imtiaz.com.pk/product/product-item-363701,Rs. 92.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000006.jpg&w=3840&q=90
Imtiaz,Pepsi Drink 1500ml,https://shop.imtiaz.com.pk/product/product-item-363696,Rs. 185.00,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000021.jpg&w=3840&q=90
