,store,name,product-link,price,category,image_url
18,Imtiaz,Quice Juice Fruit Punch 250ml,https://shop.imtiaz.com.pk/product/product-item-364486,Rs. 35.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000380.jpg&w=3840&q=90
19,Imtiaz,Nestle Drink Nesfruta Apple 200ml,https://shop.imtiaz.com.pk/product/product-item-364487,Rs. 49.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000321.jpg&w=3840&q=90
20,Imtiaz,Popular Maza Juice Mango King 250ml,https://shop.imtiaz.com.pk/product/product-item-364491,Rs. 40.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000331.jpg&w=3840&q=90
21,Imtiaz,Aqua COCO Coconut Water 330ml,https://shop.imtiaz.com.pk/product/product-item-366541,Rs. 479.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000424.jpg&w=3840&q=90
22,Imtiaz,Fruitien Joy Fruit Drink Apple 200ml,https://shop.imtiaz.com.pk/product/product-item-366546,Rs. 47.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000388.jpg&w=3840&q=90
23,Imtiaz,Joiner Juice Grape 320ml,https://shop.imtiaz.com.pk/product/product-item-368286,Rs. 319.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000353.jpg&w=3840&q=90
24,Imtiaz,Joiner Juice Orange 320ml,https://shop.imtiaz.com.pk/product/product-item-368287,Rs. 319.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000354.jpg&w=3840&q=90
25,Imtiaz,Joiner Juice Pineapple 320ml,https://shop.imtiaz.com.pk/product/product-item-368288,Rs. 319.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000355.jpg&w=3840&q=90
26,Imtiaz,Popular Maza Fruit Drink Peach 200ml,https://shop.imtiaz.com.pk/product/product-item-368291,Rs. 40.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000524.jpg&w=3840&q=90
27,Imtiaz,Popular Fruit Drink N/R Lychee 250ml,https://shop.imtiaz.com.pk/product/product-item-368297,Rs. 109.00,Juices & Nectars,https://shop.imtiaz.com.pk/_next/image?url=https%3A%2F%2Fimtiaz-i.s3.ap-southeast-1.amazonaws.com%2F55126%2Fgallery%2FBEV110000623.jpg&w=3840&q=90
