store,category,name,product-link,image_url,cleaned_category,cleaned_name,cleaned_quantity,cleaned_unit,cleaned_price,price_per_unit,predicted_price_elastic_net,predicted_price_linear_regression,predicted_price_random_forest
al-fateh,baby_food---fateh,NESTLE LACTOGEN MILK POWDER RECOVER LOW LACTOSE 200 GM,https://alfatah.pk/products/nestle-lactogen-milk-powder-recover-low-lactose-200-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_23_c9fd6423-aece-4e0b-b862-386fa87d0fc6.png?v=1757926098,Baby Food,nestle lactogen milk powder recover low lactose,200.0,g,755.0,3.775,746.2814025967626,744.871403127559,805.2121277995067
al-fateh,baby_food---fateh,NESTLE LACTOGROW 3 MILK POWDER GENTLE GROW 800 GM,https://alfatah.pk/products/nestle-lactogrow-3-milk-powder-gentle-grow-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T113619.844.png?v=1749623789,Baby Food,nestle lactogrow 3 milk powder gentle grow,800.0,g,2795.0,3.49375,2757.9561516854064,2753.7721532628702,2742.143508388482
al-fateh,baby_food---fateh,NESTLE CERELAC RED FRUITS 175 GM,https://alfatah.pk/products/nestle-cerelac-red-fruits-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Red-F-F.jpg?v=1749628641,Baby Food,nestle cerelac red fruits,175.0,g,525.0,3.0,527.8398337653896,526.0974410814013,531.6041697681122
al-fateh,baby_food---fateh,MORINAGA BF2 FOLLOWUP FORMULA FROM 6-12 MONTHS 900 GM,https://alfatah.pk/products/morinaga-bf-2-follow-up-formula-from-6-12-months-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0796554565040_1_1351900e-ed60-4894-b23d-680fb1d964de.jpg?v=1715434899,Baby Food,morinaga bf2 followup formula from 6-12 months,900.0,g,4095.0,4.55,3999.5091500466515,4000.071769258236,3549.3862372236285
al-fateh,baby_food---fateh,NESTLE CERELAC YELLOW FRUITS 175 GM,https://alfatah.pk/products/nestle-cerelac-yellow-fruits-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Yellow-F-F.jpg?v=1749628911,Baby Food,nestle cerelac yellow fruits,175.0,g,530.0,3.0285714285714285,532.39166911134,530.6627407144148,532.2041249245258
al-fateh,baby_food---fateh,MORINAGA BF-1 INSTANT FORMULA MILK POWDER FROM BIRTH 900 GM,https://alfatah.pk/products/morinaga-bf-1-instant-formula-milk-powder-from-birth-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_1307d207-a1df-4353-bc26-0e033255aeac.png?v=1750917335,Baby Food,morinaga bf-1 instant formula milk powder from birth,900.0,g,5595.0,6.216666666666667,5487.314911989947,5498.939088176814,5446.8755484584635
al-fateh,baby_food---fateh,COW & GATE MILK POWDER STAGE 2 SOFT BOX 400GM,https://alfatah.pk/products/cow-gate-milk-powder-stage-2-soft-box-400gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000348640.jpg?v=1744892392,Baby Food,cow & gate milk powder stage 2 soft box,400.0,g,2095.0,5.2375,2052.253622125683,2053.3512409838418,2164.9500934906005
al-fateh,baby_food---fateh,MORINAGA BF-1 INFANT FORMULA MILK POWDER FROM BIRTH 400 GM,https://alfatah.pk/products/morinaga-bf-1-infant-formula-milk-powder-from-birth-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4902720151306_1.jpg?v=1703100812,Baby Food,morinaga bf-1 infant formula milk powder from birth,400.0,g,2595.0,6.4875,2557.3620064745387,2562.248745149962,2615.005951699192
al-fateh,baby_food---fateh,NESTLE NIDO MILK POWDER GROWING UP FORMULA 1PLUS 375 GM,https://alfatah.pk/products/nestle-nido-milk-powder-growing-up-formula-1plus-375-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_25c542fa-2dab-4df0-9eed-d40ef9bc65e0.png?v=1749722106,Baby Food,nestle nido milk powder growing up formula 1plus,375.0,g,1095.0,2.92,1099.650617034998,1096.3560703577245,1092.724785689783
al-fateh,baby_food---fateh,NESTLE LACTOGEN 1 HAPPY SMOOTH 200 GRM,https://alfatah.pk/products/nestle-lactogen-1-happy-smooth-200-grm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T112620.483.png?v=1749623187,Baby Food,nestle lactogen 1 happy smooth,200.0,g,715.0,3.575,708.7552896661057,707.1881458548839,722.2750425923051
