store,category,name,price,product_link
al-fateh,Dry Fruits & Dates,SWEET PAN MASALA BOX 230GM,Rs.180,https://alfatah.pk/products/pan-masala-box-230gm
al-fateh,Dry Fruits & Dates,AL RUBAB SHAHI SWAD 100GM,Rs.285,https://alfatah.pk/products/al-rubab-shahi-swad-100gm
al-fateh,Dry Fruits & Dates,BLUE RIBBON MOUTH FRESHNER SUPARI 130 GM,Rs.240,https://alfatah.pk/products/blue-ribbon-mouth-freshner-supari
al-fateh,Dry Fruits & Dates,RASIN SUNDER KHANI IRANI 100 GM,Rs.150,https://alfatah.pk/products/rasin-sunder-khani-irani-100-gm
al-fateh,Dry Fruits & Dates,QUILL PUMPKIN SEEDS 150GM,"Rs.1,195",https://alfatah.pk/products/quill-pumpkin-seeds-150gm-1
al-fateh,Dry Fruits & Dates,MADINA AJWA DATES PACK 500 GM,"Rs.2,295",https://alfatah.pk/products/madina-ajwa-dates-pack-500-gm
al-fateh,Dry Fruits & Dates,AONE PLAIN ROASTED ANISEED JAR 110 GM,Rs.210,https://alfatah.pk/products/aone-plain-roasted-aniseed-jar-110-gm
al-fateh,Dry Fruits & Dates,QUILL LOTUS SEEDS 25GM,Rs.315,https://alfatah.pk/products/quill-lotus-seeds-25gm
al-fateh,Dry Fruits & Dates,BLUE RIBBON PAN MASALA BOX 180 GM,Rs.130,https://alfatah.pk/products/blue-ribbon-pan-masala-box-180-gm
al-fateh,Dry Fruits & Dates,MADINA MUBROOM DATES PACK 500 GM,"Rs.2,495",https://alfatah.pk/products/madina-mubroom-dates-pack-500-gm
al-fateh,Dry Fruits & Dates,A ONE SUPARI PAN MASALA 130 GM,Rs.195,https://alfatah.pk/products/a-one-supari-pan-masala-150-gm
al-fateh,Dry Fruits & Dates,RASIN SUNDER KHANI QANDHARI 100 GM,Rs.210,https://alfatah.pk/products/rasin-sunder-khani-qandhari-100-gm
al-fateh,Dry Fruits & Dates,A ONE MEETHA PAN MASALA 135 GM,Rs.195,https://alfatah.pk/products/a-one-meetha-pan-masala-135-gm
al-fateh,Dry Fruits & Dates,AL RUBAB SHAHI SWAD CLASSIC 100GM,Rs.400,https://alfatah.pk/products/al-rubab-shahi-swad-classic-100gm
al-fateh,Dry Fruits & Dates,MADINA KALMA DATES 800 GM PACK,"Rs.2,195",https://alfatah.pk/products/madina-kalma-dates-800-gm-pack
al-fateh,Dry Fruits & Dates,MADINA MUBROOM DATES 800 GM PACK,"Rs.3,995",https://alfatah.pk/products/madina-mubroom-dates-800-gm-pack
al-fateh,Dry Fruits & Dates,BEST CRUSHED ALMOND 100 GM,Rs.475,https://alfatah.pk/products/best-crushed-almond-100-gm
al-fateh,Dry Fruits & Dates,AONE BADAM PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-badam-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,A ONE DELUXE PAN MASALA 150 GM,Rs.195,https://alfatah.pk/products/a-one-deluxe-pan-masala-150-gm
al-fateh,Dry Fruits & Dates,MADINA AJWA DATES 800 GM PACK,"Rs.3,595",https://alfatah.pk/products/madina-ajwa-dates-800-gm-pack
al-fateh,Dry Fruits & Dates,BEST COCONUT CUBE 200 GM,Rs.595,https://alfatah.pk/products/best-coconut-cube-200-gm
al-fateh,Dry Fruits & Dates,A ONE GOTA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/a-one-gota-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,BEST COCONUT CUBE 100 GM,Rs.285,https://alfatah.pk/products/best-coconut-cube-100-gm
al-fateh,Dry Fruits & Dates,COCONUT WHOLE 100 GM,Rs.180,https://alfatah.pk/products/coconut-whole-100-gm
al-fateh,Dry Fruits & Dates,BLUE RIBBON CLASSIC ZERO SUPARI BOX 100 GM,Rs.125,https://alfatah.pk/products/freshly-royal-khajoor-mouth-freshener-box-110-gm
al-fateh,Dry Fruits & Dates,BEST CRUSHED ALMOND 200 GM,Rs.945,https://alfatah.pk/products/best-crushed-almond-200-gm
al-fateh,Dry Fruits & Dates,BEST CRUSHED PISTA 100 GM,"Rs.1,045",https://alfatah.pk/products/best-crushed-pista-100-gm
al-fateh,Dry Fruits & Dates,AONE MIX PAN MASALA JAR 150GM,Rs.210,https://alfatah.pk/products/aone-mix-pan-masala-jar-150gm
al-fateh,Dry Fruits & Dates,A ONE GOLD PAN MASALA 150GM,Rs.195,https://alfatah.pk/products/a-one-gold-pan-masala-150gm
al-fateh,Dry Fruits & Dates,PAL PAL MEETHA PAN MASALA JAR 150 GM,Rs.160,https://alfatah.pk/products/pal-pal-meetha-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,A ONE SUGAR COATED SOUNF 185 GM,Rs.195,https://alfatah.pk/products/a-one-sugar-coated-sounf-230-gm
al-fateh,Dry Fruits & Dates,PAL PAL MEETHA PAN MASALA BOX 48 PC,Rs.240,https://alfatah.pk/products/pal-pal-meetha-pan-masala-box-48-pc
al-fateh,Dry Fruits & Dates,ANNAB 100 GM,Rs.115,https://alfatah.pk/products/annab-100-gm
al-fateh,Dry Fruits & Dates,MADINA SUKARI DATE 500 GM PACK,"Rs.1,595",https://alfatah.pk/products/madina-sukari-date-500-gm-pack
al-fateh,Dry Fruits & Dates,ECO COCONUT POWDER 100GM,Rs.295,https://alfatah.pk/products/eco-coconut-powder-100gm
al-fateh,Dry Fruits & Dates,BLACK CURRENT 100 GM,Rs.300,https://alfatah.pk/products/black-current-100-gm
al-fateh,Dry Fruits & Dates,MUNTAHA MOUTH FRESHNER WHEEL BEATLE 150 GM,"Rs.1,220",https://alfatah.pk/products/muntaha-mouth-freshner-wheel-beatle-150-gm
al-fateh,Dry Fruits & Dates,COCONUT LOOSE 100 GM,Rs.200,https://alfatah.pk/products/coconut-loose-100-gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA COCONUT POWDER 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-coconut-powder-200gm
al-fateh,Dry Fruits & Dates,A ONE CHANA MAKHANA MIX JAR 125 GM,Rs.210,https://alfatah.pk/products/aone-chana-makhana-mix-jar-165-gm
al-fateh,Dry Fruits & Dates,NUTRI MAHARAJA PAN MASALA POUCH 60 GM,Rs.235,https://alfatah.pk/products/nutri-maharaja-pan-masala-pouch-60-gm
al-fateh,Dry Fruits & Dates,NUTRI WARQI PAN MASALA POUCH 70 GM,Rs.210,https://alfatah.pk/products/nutri-warqi-pan-masala-pouch-70-gm
al-fateh,Dry Fruits & Dates,SHAHI DELUXE MOUTH FRESHNER 48 PC 115 GM,Rs.240,https://alfatah.pk/products/shahi-deluxe-mouth-freshner-48-2-pc-170-gm
al-fateh,Dry Fruits & Dates,NUTRI MUGHALAE PAN MASALA POUCH 60 GM,Rs.225,https://alfatah.pk/products/nutri-mughalae-pan-masala-pouch-60-gm
al-fateh,Dry Fruits & Dates,NUTRI PAN PARAG KHOPRA MSALA JAR 150 GM,Rs.170,https://alfatah.pk/products/nutri-pan-parag-khopra-msala-jar-150-gm
al-fateh,Dry Fruits & Dates,NUTRI PAN MENTHOL JAR 150 GM,Rs.235,https://alfatah.pk/products/nutri-pan-menthol-jar-150-gm
al-fateh,Dry Fruits & Dates,MAIZBAN HUMPTY DUMPTY COCKTAIL BUNTIES 175GM,Rs.260,https://alfatah.pk/products/maizban-humpty-dumpty-cocktail-bunties-175gm
al-fateh,Dry Fruits & Dates,NUTRI SHAHI METHA PAN MASALA POUCH 60 GM,Rs.245,https://alfatah.pk/products/nutri-shahi-metha-pan-masala-pouch-60-gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA PLAIN 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-plain-200gm
al-fateh,Dry Fruits & Dates,AONE SOUNF CHANA MIX 150GM,Rs.210,https://alfatah.pk/products/aone-sounf-chana-mix-150gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA SWEET JAR 450gm,Rs.425,https://alfatah.pk/products/maizban-pan-masala-sweet-saunf-300-gm
al-fateh,Dry Fruits & Dates,NUTRI BOMBAY PAN MASALA JAR 100 GM,Rs.445,https://alfatah.pk/products/nutri-bombay-pan-masala-jar-100-gm
al-fateh,Dry Fruits & Dates,ECO COCONUT SLICES 100GM,Rs.195,https://alfatah.pk/products/eco-coconut-slices-100gm
al-fateh,Dry Fruits & Dates,MUNTAHA PLAIN ROSTED SAUNF 175 GM,Rs.480,https://alfatah.pk/products/muntaha-plain-rosted-saunf-175-gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA DHANYA GIRI SOUNF 175 GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-dhanya-giri-sounf-200gm
al-fateh,Dry Fruits & Dates,MANAQA SPECIAL QUALITY 100 GM,Rs.170,https://alfatah.pk/products/manaqa-special-quality-100-gm
al-fateh,Dry Fruits & Dates,PAL PAL CHOCOLATEY PAN MASALA BOX 48 PC,Rs.240,https://alfatah.pk/products/pal-pal-chocolatey-pan-masala-box-48-pc
al-fateh,Dry Fruits & Dates,A ONE SWEET SAUNF 185 GM,Rs.195,https://alfatah.pk/products/a-one-sweet-saunf-185-gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA SWEET 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-sweet-200gm
al-fateh,Dry Fruits & Dates,N HUG ENERGY MIX 200 GM,"Rs.1,295",https://alfatah.pk/products/n-hug-energy-mix-200-gm
al-fateh,Dry Fruits & Dates,NUTRI KASMIRI PAN MASALA JAR 150 GM,Rs.250,https://alfatah.pk/products/nutri-kasmiri-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,NUTRI CANDY PAN MASALA JAR 150 GM,Rs.250,https://alfatah.pk/products/nutri-candy-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,NUTRI TULSI MOUTH FRESH JAR 100 GM,Rs.445,https://alfatah.pk/products/nutri-tulsi-mouth-fresh-jar-100-gm
al-fateh,Dry Fruits & Dates,NUTRI SONF SWEET JAR 150 GM,Rs.145,https://alfatah.pk/products/nutri-sonf-sweet-jar-150-gm
al-fateh,Dry Fruits & Dates,NUTRI BOMBAY PAN MASALA -POUCH PACK 60 GM,Rs.295,https://alfatah.pk/products/nutri-bombay-pan-masala-pouch-pack-60-gm
al-fateh,Dry Fruits & Dates,NUTRI PAN PARAG GOTTA MASALA 150 GM,Rs.205,https://alfatah.pk/products/nutri-pan-parag-gotta-masala-150-gm
al-fateh,Dry Fruits & Dates,A ONE ELACHI MEVA MIX 200 GM,Rs.210,https://alfatah.pk/products/a-one-elachi-meva-mix-200-gm
al-fateh,Dry Fruits & Dates,NUTRI GREEN PAN MASALA JAR 150 GM,Rs.260,https://alfatah.pk/products/nutri-green-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,MAIZBAN SWEET BEATLE STICK SAUNF 150 GM,Rs.425,https://alfatah.pk/products/maizban-sweet-beatle-stick-saunf-150-gm
al-fateh,Dry Fruits & Dates,MARHABA MAZA DANA MOUTH FRESHENER 2 GM,Rs.120,https://alfatah.pk/products/marhaba-maza-dana-mouth-freshener-2-gm
al-fateh,Dry Fruits & Dates,MADINA AMBER DATES 500 GM PACK,"Rs.2,295",https://alfatah.pk/products/madina-amber-dates-500-gm-pack
al-fateh,Dry Fruits & Dates,A ONE SOOPER PAN MASALA 145 GM,Rs.210,https://alfatah.pk/products/a-one-sooper-pan-masala-145-gm
al-fateh,Dry Fruits & Dates,NUTRI MAHARAJA PAN MASALA JAR 100 GM,Rs.355,https://alfatah.pk/products/nutri-maharaja-pan-masala-jar-100-gm
al-fateh,Dry Fruits & Dates,DRY DATES 250 GM,Rs.300,https://alfatah.pk/products/dry-dates-250-gm
al-fateh,Dry Fruits & Dates,SHAHI ELAICHI HERBAL MOUTH FRESHENER 48 PCS 120 GM,Rs.240,https://alfatah.pk/products/shahi-elaichi-herbal-mouth-freshener-48-pcs-120-gm
al-fateh,Dry Fruits & Dates,NUTRI DIET PAN MASALA JAR 100 GM,Rs.405,https://alfatah.pk/products/nutri-diet-pan-masala-jar-100-gm
al-fateh,Dry Fruits & Dates,AONE GOTA GALA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-gota-gala-pan-masala-jar-150-gm
